Lane,Champion,Win Rate,Games Played,K/D/A,CS,Gold Earned,Win Rate_Bronze,Games Played_Bronze,K/D/A_Bronze,CS_Bronze,Gold Earned_Bronze,Win Rate_Silver,Games Played_Silver,K/D/A_Silver,CS_Silver,Gold Earned_Silver,Win Rate_Gold,Games Played_Gold,K/D/A_Gold,CS_Gold,Gold Earned_Gold,Win Rate_Platinum,Games Played_Platinum,K/D/A_Platinum,CS_Platinum,Gold Earned_Platinum,Win Rate_Diamond,Games Played_Diamond,K/D/A_Diamond,CS_Diamond,Gold Earned_Diamond
Top,Malphite,49.88,245307,2.84,138.35,11442,48.30,63859,2.74,114.5,11241,50.55,"96,785",2.9,138.35,11498,51.14,45515,2.91,157.16,11671,51.14,20138,2.88,170.26,11567,51,4778,2.86,174.33,11268
Top,Yorick,51.27,116695,2,194.88,12363,51.22,37676,2.01,184.12,12274,51.76,"47,444",2.01,198.86,12469,51.62,18352,1.97,204.48,12439,51.73,6667,1.94,206.6,12344,49.82,1664,1.94,198.84,11773
Top,Tryndamere,50.59,241351,1.84,214.97,13273,49.38,74377,1.87,194.44,13069,51.04,89547,1.85,219.55,13393,52.32,42727,1.82,232.83,13545,52.35,18441,1.79,236.58,13317,52.26,5004,1.88,233.56,12858
Top,Quinn,50.48,240555,2.11,161.98,12740,47.66,58478,2.03,151.58,12543,50.76,"92,361",2.12,163.43,12823,52.53,49890,2.16,168.21,12944,53.16,23256,2.18,169.15,12753,53.16,6198,2.13,166.55,12277
Top,Kled,49.87,108443,2.55,161.93,12097,47.52,22602,2.39,141.87,11813,49.67,39936,2.56,161.18,12180,51.54,23095,2.68,171.86,12333,51.19,13101,2.65,175.96,12121,53.78,4957,2.62,182.6,12009
Jungle,Shaco,52.12,258344,2.51,123.79,12421,48.71,54223,2.29,108.85,12104,52.18,97882,2.51,122.45,12454,54.44,57650,2.66,132.08,12681,54.73,28856,2.7,137.65,12595,54.49,9125,2.64,139.2,12290
Jungle,Ivern,51.59,140539,3.42,82.82,10638,46.14,23806,2.76,76.43,10548,50.99,50139,3.36,82.68,10727,53.75,32081,3.74,85.46,10758,55.35,19487,3.98,82.29,10579,56.26,8903,4.11,85.41,10205
Jungle,Xin Zhao,51.25,270691,1.99,127.42,12130,50.60,102247,1.92,121.24,12138,52.20,99694,2.05,129.47,12190,52.85,38672,2.1,136.29,12209,51.93,12013,2.1,139.1,12071,50.95,2750,2.11,150.75,11941
Jungle,Zac,50.56,202959,3.68,120.66,11476,49.39,41495,3.43,112.44,11423,51.03,79525,3.71,119.83,11535,51.08,43396,3.85,125.21,11573,50.80,20996,3.83,128.69,11396,51.90,7075,3.9,134.19,11171
Jungle,Amumu,50.53,172336,2.83,120.74,11568,50.37,56445,2.74,113.86,11529,51.54,72255,2.91,123.27,11644,50.64,24613,2.93,128.71,11635,49.08,7168,2.86,130.86,11408,47.21,1165,2.69,133.85,11088
Mid,Swain,52.74,193338,2.52,175.85,12133,50.61,44105,2.48,160.34,12027,52.88,75315,2.55,175.63,12195,54.23,39285,2.54,185.09,12258,54.43,19523,2.52,189.64,12112,54.12,6676,2.5,191.42,11707
Mid,Anivia,52.44,146759,2.93,180.48,12493,50.05,31874,2.72,153.75,12138,52.63,54002,2.93,180.79,12586,53.64,30352,3.08,193.33,12669,54.25,18128,3.13,202.44,12662,54.89,5582,2.99,199.53,12208
